ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
22447,18.0,346.9,463,43,204.6,463,1.6955034213098727
22901,18.0,356.4,486,44,209.6,486,1.700381679389313
23566,18.0,346.8,447,45,206.1,447,1.6826783114992723
24066,18.0,338.2,427,46,199.2,427,1.6977911646586346
24560,18.0,324.7,350,47,192.3,350,1.6885075403016119
25098,18.0,345.9,445,48,200.9,445,1.7217521154803384
25668,18.0,325.8,386,49,195.5,386,1.6664961636828646
26261,18.0,344.1,463,50,201.3,463,1.7093889716840536
26768,18.0,339.0,407,51,200.3,407,1.692461308037943
27251,18.0,344.1,504,52,200.3,504,1.7179231153270096
27714,18.0,354.0,512,53,198.2,512,1.786074672048436
28294,18.0,352.0,489,54,200.4,489,1.7564870259481038
28956,18.0,365.2,517,55,207.9,517,1.7566137566137565
29382,18.0,370.0,509,56,208.4,509,1.7754318618042226
30073,18.0,321.3,406,57,190.0,406,1.6910526315789474
30614,18.0,292.2,298,58,180.6,298,1.6179401993355482
31253,18.0,292.0,279,59,182.6,279,1.5991237677984667
31793,18.0,297.9,398,60,183.0,398,1.6278688524590164
166,19.0,401.6,592,1,216.8,592,1.8523985239852399
503,19.0,414.2,569,2,220.1,569,1.8818718764198092
1157,19.0,428.5,611,3,227.0,611,1.8876651982378854
1486,19.0,437.9,610,4,229.8,610,1.9055700609225412
2092,19.0,433.6,615,5,229.8,615,1.886858137510879
2609,19.0,441.3,616,6,227.8,616,1.937225636523266
3125,19.0,416.2,617,7,224.0,617,1.8580357142857142
3753,19.0,398.5,564,8,215.9,564,1.8457619268179712
4482,19.0,388.3,508,9,213.4,508,1.8195876288659794
4880,19.0,392.3,546,10,216.8,546,1.8095018450184501
5597,19.0,440.7,313,11,237.1,313,1.8587094053142135
6024,19.0,418.9,306,12,229.4,306,1.8260680034873582
6635,19.0,306.4,475,13,182.9,475,1.6752323674138871
7186,19.0,287.3,348,14,171.6,348,1.6742424242424243
7724,19.0,244.5,356,15,159.6,356,1.531954887218045
7992,19.0,262.1,450,16,160.4,450,1.6340399002493766
8578,19.0,250.4,483,17,160.0,483,1.565
9195,19.0,252.4,459,18,156.7,459,1.610721123165284
9662,19.0,250.7,476,19,157.8,476,1.58871989860583
10216,19.0,251.4,480,20,159.4,480,1.5771643663739021
10728,19.0,238.7,487,21,152.1,487,1.5693622616699539
11249,19.0,250.0,480,22,154.7,480,1.6160310277957337
12027,19.0,265.8,393,23,164.3,393,1.617772367620207
12422,19.0,255.1,501,24,160.9,501,1.5854568054692355
13043,19.0,250.5,360,25,154.6,360,1.6203104786545925
13513,19.0,253.5,473,26,159.4,473,1.5903387703889584
14096,19.0,245.9,319,27,155.7,319,1.5793192035966603
14596,19.0,252.4,323,28,157.5,323,1.6025396825396825
14957,19.0,266.9,424,29,162.6,424,1.641451414514145
15460,19.0,296.1,435,30,174.7,435,1.694905552375501
